LOR,LOR Name,31.12.2017,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015,31.12.2016
06040805,Fischerhüttenstraße,21,12,16,13,15,18,24,22,13,17,14
06040806,Fischtal,6,-,3,9,3,3,6,12,6,3,10
06040807,Zehlendorf Eiche,9,6,12,16,16,-,10,9,15,12,6
06040808,Hüttenweg,13,6,10,12,12,9,10,6,10,12,7
06040809,Thielallee,25,6,12,12,14,18,12,21,12,12,27
06040810,Dahlem,21,15,9,7,13,15,16,17,21,21,29
07010101,Wittenbergplatz/Viktoria-Luise-Platz,72,42,37,45,43,56,66,58,68,75,71
07010102,Nollendorfplatz,141,103,109,102,92,96,84,117,123,124,131
07010103,Barbarossaplatz,76,54,57,52,47,39,49,58,46,58,59
07010104,Dennewitzplatz,88,46,65,86,98,89,58,85,82,81,78
07020201,Bayerischer Platz,54,25,24,27,39,34,57,63,65,72,62
07020202,Volkspark (Rudolf-Wilde-Park),49,34,41,40,42,16,32,52,46,42,43
07020203,Kaiser-Wilhelm-Platz,133,86,76,84,87,102,97,110,113,115,143
07020204,Schöneberger Insel,84,42,58,72,52,72,59,54,61,59,75
07030301,Friedenau,80,57,60,62,64,51,73,73,65,75,82
07030302,Ceciliengärten,51,24,16,25,34,33,40,45,55,47,56
07030303,Grazer Platz,40,9,15,16,16,18,27,37,33,40,32
07040401,Neu-Tempelhof,69,16,21,24,24,41,47,55,64,67,65
07040402,Lindenhofsiedlung,-,-,-,-,-,-,-,-,-,-,-
07040403,Manteuffelstraße,72,31,27,28,30,52,45,62,54,51,71
07040404,Marienhöhe,-,-,-,-,-,6,3,6,6,6,3
07040405,Rathaus Tempelhof,27,7,6,-,9,7,21,38,22,25,33
07040406,Germaniagarten,17,-,3,-,3,3,9,9,18,18,26
07050501,Rathausstraße,25,9,12,15,12,15,9,14,25,22,29
07050502,Fritz-Werner-Straße,4,10,10,-,6,7,6,3,6,6,9
07050503,Eisenacher Straße,7,-,-,-,9,3,9,14,21,9,12
07050504,Imbrosweg,4,3,3,-,-,-,-,-,3,3,3
07050505,Hundsteinweg,3,6,9,9,6,6,-,6,6,9,13
07050506,Birnhornweg,6,7,-,3,3,6,6,3,-,3,-
07060601,Marienfelder Allee Nordwest,8,-,3,6,3,9,9,12,3,9,6
07060602,Kirchstraße,10,3,3,6,-,-,-,-,-,6,7
07060603,Marienfelde Nordost,-,-,-,-,3,-,3,4,3,3,-
07060604,Marienfelde Süd,16,-,3,-,3,3,3,6,6,13,19
07070701,Kettinger Straße/Schillerstraße,12,10,3,6,3,16,4,6,9,12,9
07070702,Alt-Lichtenrade/Töpchiner Weg,3,-,7,3,3,3,9,3,6,6,9
07070703,John-Locke-Straße,3,-,3,3,3,-,-,9,3,-,-
07070704,Nahariyastraße,3,-,4,-,3,-,-,-,-,-,-
07070705,Franziusweg/Rohrbachstraße,10,6,6,12,12,6,3,6,6,9,12
07070706,Horstwalder Straße/Paplitzer Straße,-,4,4,-,-,-,-,-,-,6,-
07070707,Wittelsbacherstraße,-,3,-,-,-,4,3,-,-,-,-
08010115,Hasenheide,3,7,-,9,9,6,6,-,3,3,9
08010116,Wissmannstraße,33,6,14,6,18,19,32,28,31,33,28
